dy_F(1) = 1, Time: 0.000000 seconds
dy_F(2) = 1, Time: 0.000000 seconds
dy_F(3) = 2, Time: 0.000000 seconds
dy_F(4) = 3, Time: 0.000000 seconds
dy_F(5) = 5, Time: 0.000000 seconds
dy_F(6) = 8, Time: 0.000000 seconds
dy_F(7) = 13, Time: 0.000000 seconds
dy_F(8) = 21, Time: 0.000000 seconds
dy_F(9) = 34, Time: 0.000000 seconds
dy_F(10) = 55, Time: 0.000000 seconds
dy_F(11) = 89, Time: 0.000000 seconds
dy_F(12) = 144, Time: 0.000000 seconds
dy_F(13) = 233, Time: 0.000000 seconds
dy_F(14) = 377, Time: 0.000000 seconds
dy_F(15) = 610, Time: 0.000000 seconds
dy_F(16) = 987, Time: 0.000000 seconds
dy_F(17) = 1597, Time: 0.000000 seconds
dy_F(18) = 2584, Time: 0.000000 seconds
dy_F(19) = 4181, Time: 0.000000 seconds
dy_F(20) = 6765, Time: 0.000000 seconds
dy_F(21) = 10946, Time: 0.000000 seconds
dy_F(22) = 17711, Time: 0.000000 seconds
dy_F(23) = 28657, Time: 0.000000 seconds
dy_F(24) = 46368, Time: 0.000000 seconds
dy_F(25) = 75025, Time: 0.000000 seconds
dy_F(26) = 121393, Time: 0.000000 seconds
dy_F(27) = 196418, Time: 0.000000 seconds
dy_F(28) = 317811, Time: 0.000000 seconds
dy_F(29) = 514229, Time: 0.000000 seconds
dy_F(30) = 832040, Time: 0.000000 seconds
dy_F(31) = 1346269, Time: 0.000000 seconds
dy_F(32) = 2178309, Time: 0.000000 seconds
dy_F(33) = 3524578, Time: 0.000000 seconds
dy_F(34) = 5702887, Time: 0.000000 seconds
dy_F(35) = 9227465, Time: 0.000000 seconds
dy_F(36) = 14930352, Time: 0.000000 seconds
dy_F(37) = 24157817, Time: 0.000000 seconds
dy_F(38) = 39088169, Time: 0.000000 seconds
dy_F(39) = 63245986, Time: 0.000000 seconds
dy_F(40) = 102334155, Time: 0.000000 seconds
dy_F(41) = 165580141, Time: 0.000000 seconds
dy_F(42) = 267914296, Time: 0.000000 seconds
dy_F(43) = 433494437, Time: 0.000000 seconds
dy_F(44) = 701408733, Time: 0.000000 seconds
dy_F(45) = 1134903170, Time: 0.000000 seconds
dy_F(46) = 1836311903, Time: 0.000000 seconds
dy_F(47) = 2971215073, Time: 0.000000 seconds
dy_F(48) = 4807526976, Time: 0.000000 seconds
dy_F(49) = 7778742049, Time: 0.000000 seconds
dy_F(50) = 12586269025, Time: 0.000000 seconds
dy_F(51) = 20365011074, Time: 0.000000 seconds
dy_F(52) = 32951280099, Time: 0.000000 seconds
dy_F(53) = 53316291173, Time: 0.000000 seconds
dy_F(54) = 86267571272, Time: 0.000000 seconds
dy_F(55) = 139583862445, Time: 0.000000 seconds
dy_F(56) = 225851433717, Time: 0.000000 seconds
dy_F(57) = 365435296162, Time: 0.000000 seconds
dy_F(58) = 591286729879, Time: 0.000000 seconds
dy_F(59) = 956722026041, Time: 0.000000 seconds
dy_F(60) = 1548008755920, Time: 0.000000 seconds
dy_F(61) = 2504730781961, Time: 0.000000 seconds
dy_F(62) = 4052739537881, Time: 0.000000 seconds
dy_F(63) = 6557470319842, Time: 0.000000 seconds
dy_F(64) = 10610209857723, Time: 0.000000 seconds
dy_F(65) = 17167680177565, Time: 0.000000 seconds
dy_F(66) = 27777890035288, Time: 0.000000 seconds
dy_F(67) = 44945570212853, Time: 0.000000 seconds
dy_F(68) = 72723460248141, Time: 0.000000 seconds
dy_F(69) = 117669030460994, Time: 0.000000 seconds
dy_F(70) = 190392490709135, Time: 0.000000 seconds
dy_F(71) = 308061521170129, Time: 0.000000 seconds
dy_F(72) = 498454011879264, Time: 0.000000 seconds
dy_F(73) = 806515533049393, Time: 0.000000 seconds
dy_F(74) = 1304969544928657, Time: 0.000000 seconds
dy_F(75) = 2111485077978050, Time: 0.000000 seconds
dy_F(76) = 3416454622906707, Time: 0.000000 seconds
dy_F(77) = 5527939700884757, Time: 0.000000 seconds
dy_F(78) = 8944394323791464, Time: 0.000000 seconds
dy_F(79) = 14472334024676221, Time: 0.000000 seconds
dy_F(80) = 23416728348467685, Time: 0.000000 seconds
dy_F(81) = 37889062373143906, Time: 0.000000 seconds
dy_F(82) = 61305790721611591, Time: 0.000000 seconds
dy_F(83) = 99194853094755497, Time: 0.000000 seconds
dy_F(84) = 160500643816367088, Time: 0.000000 seconds
dy_F(85) = 259695496911122585, Time: 0.000000 seconds
dy_F(86) = 420196140727489673, Time: 0.000000 seconds
dy_F(87) = 679891637638612258, Time: 0.000000 seconds
dy_F(88) = 1100087778366101931, Time: 0.000000 seconds
dy_F(89) = 1779979416004714189, Time: 0.000000 seconds
dy_F(90) = 2880067194370816120, Time: 0.000000 seconds
dy_F(91) = 4660046610375530309, Time: 0.000000 seconds
dy_F(92) = 7540113804746346429, Time: 0.000000 seconds
dy_F(93) = 12200160415121876738, Time: 0.000000 seconds
dy_F(94) = 19740274219868223167, Time: 0.000000 seconds
dy_F(95) = 31940434634990099905, Time: 0.000000 seconds
dy_F(96) = 51680708854858323072, Time: 0.000000 seconds
dy_F(97) = 83621143489848422977, Time: 0.000000 seconds
dy_F(98) = 135301852344706746049, Time: 0.000000 seconds
dy_F(99) = 218922995834555169026, Time: 0.000000 seconds
