re_F(1) = 1, Time: 0.000000 seconds
re_F(2) = 1, Time: 0.000000 seconds
re_F(3) = 2, Time: 0.000000 seconds
re_F(4) = 3, Time: 0.000000 seconds
re_F(5) = 5, Time: 0.000000 seconds
re_F(6) = 8, Time: 0.000000 seconds
re_F(7) = 13, Time: 0.000000 seconds
re_F(8) = 21, Time: 0.000000 seconds
re_F(9) = 34, Time: 0.000000 seconds
re_F(10) = 55, Time: 0.000000 seconds
re_F(11) = 89, Time: 0.000000 seconds
re_F(12) = 144, Time: 0.000000 seconds
re_F(13) = 233, Time: 0.000000 seconds
re_F(14) = 377, Time: 0.000000 seconds
re_F(15) = 610, Time: 0.000000 seconds
re_F(16) = 987, Time: 0.001053 seconds
re_F(17) = 1597, Time: 0.000000 seconds
re_F(18) = 2584, Time: 0.000000 seconds
re_F(19) = 4181, Time: 0.001004 seconds
re_F(20) = 6765, Time: 0.001010 seconds
re_F(21) = 10946, Time: 0.000996 seconds
re_F(22) = 17711, Time: 0.002996 seconds
re_F(23) = 28657, Time: 0.003901 seconds
re_F(24) = 46368, Time: 0.006604 seconds
re_F(25) = 75025, Time: 0.011003 seconds
re_F(26) = 121393, Time: 0.016522 seconds
re_F(27) = 196418, Time: 0.026996 seconds
re_F(28) = 317811, Time: 0.045900 seconds
re_F(29) = 514229, Time: 0.073015 seconds
re_F(30) = 832040, Time: 0.119622 seconds
re_F(31) = 1346269, Time: 0.188668 seconds
re_F(32) = 2178309, Time: 0.309058 seconds
re_F(33) = 3524578, Time: 0.499661 seconds
re_F(34) = 5702887, Time: 0.805596 seconds
re_F(35) = 9227465, Time: 1.317409 seconds
re_F(36) = 14930352, Time: 2.097097 seconds
re_F(37) = 24157817, Time: 3.440132 seconds
re_F(38) = 39088169, Time: 6.092716 seconds
re_F(39) = 63245986, Time: 9.187395 seconds
re_F(40) = 102334155, Time: 14.432608 seconds
re_F(41) = 165580141, Time: 23.307570 seconds
re_F(42) = 267914296, Time: 37.554695 seconds
re_F(43) = 433494437, Time: 60.611832 seconds
re_F(44) = 701408733, Time: 98.103579 seconds
re_F(45) = 1134903170, Time: 159.002398 seconds
re_F(46) = 1836311903, Time: 256.283263 seconds
re_F(47) = 2971215073, Time: 416.584384 seconds
re_F(48) = 4807526976, Time: 675.496180 seconds
re_F(49) = 7778742049, Time: 1090.379601 seconds
re_F(50) = 12586269025, Time: 1765.073758 seconds
re_F(51) = 20365011074, Time: 2853.948836 seconds
re_F(52) = 32951280099, Time: 4617.109197 seconds
re_F(53) = 53316291173, Time: 7473.974649 seconds
